id,name,state
783,Jaipur (Gramin),8
449,Kachchh,24
387,Raipur,22
459,Surat,24
353,Gajapati,21
514,Nalgonda,36
697,Yadadri Bhuvanagiri,36
411,Jabalpur,23
341,Saraikela Kharsawan,20
511,Kurnool,28
285,Dhubri,18
348,Bhadrak,21
444,Dangs,24
379,Janjgir-Champa,22
121,Ambedkar Nagar,9
5,Jammu,1
467,Akola,27
251,Zunheboto,13
568,Chennai,33
581,Perambalur,33
120,Prayagraj,9
87,Alwar,8
478,Jalgaon,27
518,Ranga Reddy,36
190,Banka,10
370,Rayagada,21
269,Dhalai,16
490,Pune,27
470,Beed,27
732,Tirupathur,33
201,Katihar,10
112,Rajsamand,8
275,West Jaintia Hills,17
30,Fatehgarh Sahib,3
27,Amritsar,3
313,Howrah,19
744,Anakapalli,28
440,Anand,24
1,Anantnag,1
206,Madhubani,10
553,Lakshadweep District,31
468,Amravati,27
690,Bhadradri Kothagudem,36
536,Dharwad,29
344,Anugul,21
776,Anupgarh,8
134,Bulandshahr,9
188,Araria,10
11,Pulwama,1
476,Gondia,27
539,Hassan,29
427,Sehore,23
105,Jhalawar,8
128,Banda,9
527,Belagavi,29
572,Dindigul,33
523,West Godavari,28
306,Purba Bardhaman,19
430,Shajapur,23
530,Vijayapura,29
689,Jangoan,36
354,Ganjam,21
376,Dakshin Bastar Dantewada,22
60,Faridabad,6
435,Ujjain,23
479,Jalna,27
62,Gurugram,6
303,North 24 Parganas,19
504,Y.S.R.,28
211,Pashchim Champaran,10
487,Nashik,27
294,Kokrajhar,18
195,Darbhanga,10
391,Ashoknagar,23
59,Bhiwani,6
327,East Singhbum,20
600,Puducherry,34
423,Ratlam,23
191,Begusarai,10
700,Medchal Malkajgiri,36
242,West Kameng,12
346,Baleshwar,21
771,Gangapurcity,8
357,Jharsuguda,21
314,Jalpaiguri,19
436,Umaria,23
623,Bandipora,1
373,Sundargarh,21
53,Pithoragarh,5
218,Saran,10
213,Purbi Champaran,10
196,Gaya,10
453,Navsari,24
342,Simdega,20
685,Kamareddy,36
510,Krishna,28
772,Phalodi,8
421,Raisen,23
197,Gopalganj,10
361,Kendujhar,21
