id,name,district
7140,Aandhi,783
3728,Abdasa,449
3331,Abhanpur,387
6518,Adajan,459
3100,Adava,353
6304,Adavidevulapalli,514
6310,Adda Guduru,697
7024,Adhartal,411
2752,Adityapur(Gamharia),341
5271,Adoni,511
2006,Agamoni,285
2910,Agarpada,348
3921,Ahwa,444
3278,Akaltara,379
910,Akbarpur,121
78,Akhnoor,5
3991,Akola,467
1768,Akuluto,251
5704,Alandur,568
5951,Alathur,581
890,Allahabad,120
499,Alwar,87
3969,Amalner,478
4563,Amangal,518
1346,Amarpur,190
3172,Ambadala,370
6697,Ambassa,269
5700,Ambattur,568
4188,Ambegaon,490
4225,Ambejogai,470
5719,Ambur,732
1157,Amdabad,201
641,Amet,112
7161,Aminjikarai,568
1998,Amlarem,275
222,Amloh,30
256,Amritsar -I,27
2399,Amta - II,313
4871,Anakapalli,744
6530,Anand City,440
3864,Anand Rural,440
55,Anantnag,1
6822,Anantnag East,1
1096,Andhratharhi,206
5627,Andrott,553
4003,Anjangaon Surji,468
6268,Annapureddypalli,690
7080,Annigeri,536
3011,Anugul,344
462,Anupgarh,776
748,Anupshahr,134
1116,Araria,188
6795,Aripal,11
4050,Arjuni Morgaon,476
5558,Arkalgud,539
5555,Arsikere,539
3584,Ashta,427
4215,Ashti,470
6055,Asnawar,105
5275,Aspari,511
873,Atarra,128
3017,Athmallik,344
5434,Athni,527
5994,Athoor,572
4973,Attili,523
2277,Ausgram - I,306
6510,Avantipur Barodia,430
7163,Ayanavaram,568
7069,Babaleshwar,530
1088,Babubarhi,206
4674,Bachannapet,689
3077,Badagada,354
6509,Bade Bacheli,376
6407,Badkhal,60
3514,Badnagar,435
4128,Badnapur,479
6421,Badshahpur St,62
2328,Baduria,303
5210,Badvel,504
1019,Bagaha,211
4145,Baglan,487
2409,Bagnan - II,313
2005,Bagribari (Pt),294
1189,Bahadurpur,195
6978,Bahadurpur,391
6432,Bahal St,59
2614,Baharagora,327
5912,Bahour,600
3505,Bajna,423
6666,Bakani,105
1316,Bakhri,191
4517,Balanagar,700
6564,Balemu Circle,242
2897,Baleshwar Sadar,346
7360,Balghat,771
2893,Baliapal,346
426,Ballabgarh,60
1146,Balrampur,201
527,Bamanwas,771
2773,Banaharapali,357
7118,Banarhat,314
3482,Bandhavgarh,436
41,Bandipora,623
2830,Banei,373
6356,Bangapani,53
1252,Baniapur,218
1035,Banjaria,213
1500,Banke Bazar,196
3926,Bansda,453
2726,Bansjor,342
4383,Banswada,685
5019,Bantumilli,510
6048,Bap,772
1349,Barahat,190
3594,Baraily,421
4199,Baramati,490
2326,Barasat - II,303
1226,Barauli,197
2834,Barbil,361
5610,Bardez,551
2567,Barhait,340
2841,Baria,361
2888,Baripada (M),365
2872,Baripada Sadar,365
2650,Barkatha,332
7224,Barnala,771
102,Baroh,18
1482,Barun,189
6460,Barwala St,70
2329,Basirhat - I,303
1082,Basopatti,206
7133,Bassi,95
3363,Bastar,374
2915,Basudebpur,348
7339,Batabari,278
245,Bathinda,28
3129,Baunsuni,349
513,Bayana,91
4221,Beed,470
5391,Beerongi Kothakota,753
3035,Begunia,362
701,Behat,177
1427,Behea,193
4437,Bejjanki,692
7135,Bejupada,97
1489,Belaganj,196
1416,Belchhi,212
1326,Beldaur,202
4350,Bellampally,684
5542,Bengaluru North,525
5543,Bengaluru South,525
2113,Bengtol,612
1091,Benipatti,206
1188,Benipur,195
3689,Beohari,429
407,Beri,64
6776,Beri Pattan,12
339,Betalghat,51
2881,Betanati,365
3600,Betul,394
1453,Bhabua,200
3724,Bhachau,449
997,Bhadohi,179
2914,Bhadrak Rural,348
2231,Bhagawangola - I,319
3598,Bhainsdehi,394
3244,Bhaiyathan,648
6755,Bhalla,4
4771,Bhamini,743
4039,Bhandara,471
